客场队名,主场队名,客场本场前战绩,主场本场前战绩,比分
140,105,7胜5负,6胜6负,91:102
196,105,3胜8负,7胜6负,84:102
105,133,8胜6负,7胜7负,103:105
105,140,8胜7负,8胜6负,105:106
105,23,9胜10负,10胜9负,92:89
105,16,10胜11负,7胜16负,101:94
105,112,11胜11负,9胜9负,105:108
105,168,12胜12负,7胜15负,122:97
105,126,14胜12负,11胜12负,93:101
147,105,25胜6负,17胜15负,78:92
112,105,14胜14负,18胜15负,101:97
105,154,19胜16负,15胜17负,112:105
91,105,12胜22负,20胜16负,105:108
9,105,9胜28负,21胜16负,91:98
105,119,24胜16负,30胜8负,97:117
98,105,7胜29负,24胜17负,112:108
119,105,32胜8负,24胜18负,118:121
105,182,25胜18负,22胜21负,105:95
23,105,26胜18负,27胜18负,101:102
182,105,25胜22负,28胜18负,110:118
196,105,15胜31负,29胜18负,98:113
2,105,29胜19负,31胜18负,96:128
105,9,32胜18负,16胜34负,111:103
105,42,33胜18负,26胜23负,114:118
105,35,33胜20负,30胜22负,108:119
105,98,34胜21负,15胜37负,113:119
105,126,36胜22负,26胜30负,111:109
105,168,39胜22负,21胜40负,120:113
147,105,44胜19负,40胜22负,92:107
112,105,21胜37负,41胜22负,88:111
49,105,38胜23负,43胜22负,94:117
189,105,44胜19负,44胜22负,80:87
105,2,45胜22负,36胜29负,119:118
105,119,46胜22负,50胜17负,114:104
105,196,49胜22负,24胜46负,86:110
35,105,42胜29负,49胜24负,87:109
203,105,57胜20负,53胜24负,86:96
105,175,54胜24负,38胜40负,105:108
126,105,33胜46负,54胜25负,109:118
105,30,55胜25负,37胜43负,112:111
161,105,25胜56负,56胜25负,98:118
140,105,0胜0负,0胜0负,95:97
140,105,0胜1负,1胜0负,131:117
105,140,1胜1负,1胜1负,108:110
105,140,1胜2负,2胜1负,101:115
106,169,0胜0负,0胜0负,88:90
127,106,0胜1负,0胜1负,113:98
204,106,2胜1负,0胜2负,102:94
71,106,2胜2负,0胜3负,107:109
106,134,1胜4负,0胜7负,100:81
113,106,6胜3负,3胜4负,113:117
3,106,6胜3负,4胜6负,87:97
176,106,9胜4负,5胜6负,100:102
106,113,7胜6负,8胜8负,117:110
50,106,3胜11负,8胜6负,95:97
106,64,9胜6负,6胜9负,112:98
106,36,10胜6负,5胜12负,111:87
106,57,11胜8负,7胜13负,103:92
197,106,11胜10负,13胜9负,93:102
162,106,14胜10负,14胜10负,103:99
106,148,14胜11负,18胜9负,91:112
141,106,15胜13负,14胜12负,89:81
106,197,14胜13负,12胜14负,89:105
106,155,15胜17负,14胜19负,137:115
120,106,27胜8负,17胜17负,88:101
106,134,19胜17负,12胜26负,103:118
106,141,19胜18负,25胜14负,123:116
10,106,14胜25负,20胜18负,117:109
106,162,20胜19负,22胜17负,103:117
106,127,20胜20负,31胜11负,105:110
24,106,34胜8负,20胜21负,96:109
106,169,21胜21负,15胜27负,125:117
64,106,24胜21负,22胜22负,100:90
31,106,9胜39负,23胜23负,100:110
106,24,24胜25负,39胜11负,80:119
106,113,24胜26负,24胜28负,90:117
162,106,30胜21负,24胜27负,112:107
106,31,24胜28负,10胜43负,101:90
106,3,25胜28负,28胜25负,89:117
169,106,19胜36负,25胜29负,109:95
127,106,38胜18负,25胜30负,100:95
36,106,26胜29负,25胜31负,112:89
106,127,25胜32负,40胜18负,96:102
113,106,29胜29负,25胜33负,132:128
176,106,36胜25负,25胜34负,110:115
106,197,27胜34负,25胜37负,107:111
106,92,27胜36负,19胜46负,120:112
106,85,28胜36负,44胜18负,111:107
106,71,29胜36负,28胜35负,92:97
148,106,48胜20负,29胜37负,100:110
17,106,25胜41负,30胜37负,109:118
106,176,31胜37负,41胜28负,106:122
99,106,36胜33负,31胜38负,102:105
106,120,32胜38负,51胜18负,96:117
106,204,32胜39负,54胜16负,103:108
204,106,55胜16负,32胜40负,133:102
190,106,43胜30负,32胜41负,94:92
106,190,33胜42负,44胜31负,92:100
106,183,33胜43负,50胜25负,125:130
183,106,52胜25负,33胜44负,116:123
134,106,24胜55负,35胜44负,94:101
106,148,36胜44负,56胜24负,105:117
141,106,50胜31负,36胜45负,116:112
107,121,1胜0负,0胜2负,91:102
170,107,2胜1负,1胜1负,110:105
107,170,1胜2负,3胜1负,109:131
107,128,1胜4负,3胜3负,100:116
128,107,5胜3负,1胜5负,130:113
107,51,2胜6负,2胜8负,93:109
121,107,3胜9负,3胜7负,100:107
198,107,6胜4负,4胜7负,97:117
107,156,5胜7负,3胜10负,101:94
4,107,9胜5负,6胜7负,109:114
107,163,7胜7负,9胜6负,112:120
163,107,10胜6负,7胜8负,97:122
107,135,8胜8负,5胜12负,103:101
128,107,13胜4负,9胜8负,105:103
107,100,9胜9负,12胜5负,89:119
107,65,9胜11负,15胜5负,107:112
86,107,10胜11负,9胜12负,82:102
107,184,10胜12负,17胜5负,96:108
184,107,18胜5负,10胜14负,115:111
149,107,18胜7负,10胜15负,106:109
107,37,12胜16负,11胜15负,96:102
65,107,23胜7负,13胜17负,116:102
156,107,9胜22负,13胜18负,111:103
107,4,13胜19负,22胜10负,101:106
93,107,13胜24负,15胜20负,90:93
107,170,16胜20负,15胜20负,118:108
177,107,27胜12负,17胜20负,107:114
107,177,18胜20负,27胜13负,89:97
114,107,6胜32负,18胜21负,113:105
205,107,26胜16负,18胜23负,109:99
44,107,14胜26负,18胜24负,100:99
107,149,18胜26负,30胜14负,98:102
107,198,18胜27负,24胜21负,93:85
107,191,19胜27负,33胜12负,69:99
107,58,19胜29负,10胜39负,98:105
107,44,19胜30负,17胜30负,100:104
107,18,19胜31负,19胜31负,88:98
121,107,26胜25负,19胜32负,124:114
107,156,19胜33负,13胜38负,106:96
107,32,20胜33负,30胜23负,81:89
107,121,20胜34负,30胜25负,94:119
37,107,22胜31负,20胜35负,110:82
163,107,29胜28负,20胜36负,110:96
135,107,21胜35负,20胜37负,104:82
198,107,31胜27负,20胜38负,99:92
32,107,32胜27负,20胜39负,95:106
184,107,42胜20负,22胜40负,114:100
72,107,50胜13负,23胜41负,102:115
142,107,51胜12负,24胜41负,103:114
107,198,25胜41负,36胜29负,118:111
107,184,26胜42负,45胜22负,108:118
107,93,26胜44负,22胜49负,119:100
135,107,31胜40负,27胜45负,91:107
107,128,28胜45负,46胜25负,114:120
149,107,50胜26负,28胜48负,107:92
177,107,47胜31负,29胜49负,144:143
170,107,27胜52负,29胜50负,111:122
107,149,30胜50负,54胜26负,103:110
108,122,1胜1负,2胜0负,93:117
108,157,1胜2负,0胜3负,120:109
185,108,4胜4负,4胜4负,98:107
108,164,5胜4负,4胜4负,81:105
108,206,6胜5负,8胜2负,98:109
164,108,6胜5负,6胜6负,114:107
143,108,14胜0负,6胜7负,118:105
150,108,6胜7负,6胜8负,111:94
206,108,12胜3负,6胜9负,91:80
108,33,6胜11负,6胜11负,74:92
108,5,6胜12负,10胜5负,90:99
108,59,7胜13负,1胜19负,108:105
94,108,11胜9负,8胜13负,85:74
185,108,12胜12负,9胜14负,108:114
108,136,11胜14负,10胜14负,88:97
108,164,11胜17负,12胜18负,104:96
108,122,12胜18负,20胜10负,112:122
12,108,20胜9负,12胜19负,93:87
108,129,12胜20负,13胜20负,103:110
108,143,12胜21负,30胜2负,108:111
108,192,13胜23负,19胜18负,84:91
87,108,22胜17负,15胜24负,98:95
26,108,22胜18负,15胜25负,126:129
122,108,30胜12负,16胜25负,110:104
192,108,24胜19负,16胜26负,102:101
19,108,23胜20负,16胜27负,101:104
73,108,26胜19负,17胜27负,119:105
108,101,17胜29负,20胜23负,117:113
108,26,18胜29负,24胜22负,105:109
66,108,32胜15负,18胜30负,93:112
108,136,19胜30负,22胜25负,81:85
5,108,27胜21负,19胜31负,110:115
108,52,20胜31负,23胜30负,101:96
108,38,21胜31负,13胜39负,104:105
108,171,22胜32负,22胜31负,110:116
171,108,23胜31负,22胜34负,114:110
192,108,34胜24负,23胜36负,103:96
157,108,12胜49负,23胜37负,107:117
38,108,17胜44负,24胜37负,121:120
52,108,26胜38负,25胜38负,94:110
101,108,30胜34负,27胜38负,100:116
108,87,28胜38负,38胜28负,119:124
108,12,29胜41负,49胜20负,91:124
59,108,9胜62负,29胜42负,103:104
108,157,30胜42负,15胜56负,116:105
108,192,31胜44负,41胜33负,109:105
122,108,53胜24负,32胜46负,124:102
136,108,39胜40负,33胜47负,100:84
109,67,1胜1负,1胜1负,102:105
109,116,1胜2负,1胜2负,102:99
109,20,2胜2负,3胜2负,86:103
109,46,2胜3负,3胜2负,123:107
20,109,4胜5负,3胜5负,106:95
67,109,7胜4负,4胜7负,113:111
6,109,9胜5负,5胜8负,107:110
109,137,6胜8负,7胜8负,83:108
123,109,8胜8负,6胜9负,132:129
88,109,5胜12负,7胜10负,106:98
186,109,12胜7负,7胜11负,128:110
109,179,9胜15负,5胜18负,92:112
179,109,7胜20负,11胜16负,107:117
109,151,12胜16负,20胜8负,102:119
74,109,14胜15负,12胜17负,109:108
109,151,12胜18负,22胜10负,106:102
109,144,14胜19负,29胜5负,119:127
95,109,17胜25负,15胜23负,112:125
109,207,17胜23负,32胜9负,104:118
151,109,29胜15负,17胜24负,98:123
109,116,18胜24负,15胜28负,108:111
165,109,15胜30负,19胜25负,120:127
109,165,20胜25负,15胜31负,123:112
193,109,29胜21负,21胜26负,119:99
109,74,23胜28负,30胜22负,106:117
109,13,24胜29负,36胜16负,109:125
144,109,46胜8负,24胜30负,110:132
116,109,21胜35负,25胜30负,112:99
109,172,25胜31负,24胜33负,100:116
39,109,9胜47负,25胜32负,109:129
193,109,34胜25负,26胜32负,105:98
109,6,26胜33负,30胜29负,125:107
109,34,27胜33负,26胜32负,110:98
172,109,25胜37负,28胜34负,96:108
102,109,38胜24负,29胜34负,123:113
109,172,30胜35负,25胜40负,105:92
158,109,20胜46负,31胜35负,101:129
109,27,34胜37负,36胜35负,125:117
200,109,30胜42负,35胜37负,115:90
109,130,35胜38负,35胜38负,113:122
109,88,35胜40负,37胜39负,116:113
109,179,38胜42负,32胜48负,109:91
109,123,39胜42负,47胜34负,111:105
